NES,United States (usa),720,1,1,1,$30,
NES,United States (usa),1942,1,1,1,$45,
NES,United States (usa),10-Yard Fight (Non Hang Tab),1,0,0,$5,
NES,United States (usa),3-D Battles of World Runner (Black Box),1,0,1,$30,
NES,United States (usa),6 in 1 - Caltron (SEALED),1,1,1,$450,
NES,United States (usa),8 Eyes,1,0,1,$30,
NES,United States (usa),A Nightmare on Elm Street,1,1,1,$145,
NES,United States (usa),Action 52,1,0,0,$300,
NES,United States (usa),"Addams Family, The",1,0,0,$20,
NES,United States (usa),Advanced Dungeons & Dragons: Hillsfar,1,0,0,$80,
NES,United States (usa),Advanced Dungeons & Dragons: Pool of Radiance,1,1,1,$70,
NES,United States (usa),Adventure Island,1,1,1,$40,
NES,United States (usa),Adventure Island 3,1,0,1,$90,
NES,United States (usa),Adventure Island II,1,1,1,$60,
NES,United States (usa),"Adventures of Bayou Billy, The",1,1,1,$25,
NES,United States (usa),Adventures of Captain Comic (Blue cart),1,1,0,$25,
NES,United States (usa),Adventures of Dino Riki,1,1,1,$30,
NES,United States (usa),Adventures of Lolo 3,1,0,0,$50,
NES,United States (usa),Adventures of Tom Sawyer,1,0,0,$8,
NES,United States (usa),After Burner,1,1,1,$25,
NES,United States (usa),Air Fortress,1,1,0,$15,
NES,United States (usa),Airwolf,1,1,1,$20,
NES,United States (usa),Aladdin Deck Enhancer Sealed w/ 6 games,6,6,6,$110,
NES,PAL B,Aladdin,1,1,1,$65,
NES,United States (usa),Alien 3,1,0,1,$45,
NES,United States (usa),Alpha Mission,1,1,1,$45,
NES,United States (usa),Amagon,1,0,1,$20,
NES,United States (usa),American Gladiators,1,0,1,$18,
NES,United States (usa),Anticipation,1,1,1,$10,
NES,United States (usa),Arch Rivals - A BASKETBRAWL!,1,1,1,$35,
NES,United States (usa),Archon,1,0,1,$25,
NES,PAL B,Asterix,1,1,1,$60,
NES,United States (usa),Astyanax,1,1,1,$20,
NES,United States (usa),Athletic World (regular version),1,1,1,$30,
NES,United States (usa),Back to the Future II & III,1,1,1,$45,
NES,United States (usa),Bad Street Brawler,1,1,1,$25,
NES,United States (usa),Balloon Fight,1,0,0,$20,
NES,PAL B,Banana Prince,1,1,1,$220,
NES,United States (usa),Bandai Golf: Challenge Pebble Beach,1,1,1,$15,
